RNUM,ACC_CRT,ACC_WM,RT_CRT,RT_WM
R2595,1,1,0.765111095238,0.840418333333
R3111,0.55,0.5625,0.8403889,0.8229021875
R3262,1,1,0.781418157895,0.854513235294
R3380,0.941176470588,1,0.710443294118,0.842021315789
R3385,0.866666666667,1,0.787122466667,0.817600761905
R3557,0.95,0.8125,0.85788215,0.854166
R3678,1,0.944444444444,0.771502611111,0.7937185
R3773,1,0.526315789474,0.931078058824,0.839812764706
R3884,0.842105263158,1,0.777998058824,0.830983764706
R3891,0.8125,1,0.8385428125,0.8353141
R3946,0.95,1,0.7878565,0.83230375
R4007,0.95,1,0.8204007,0.8291444375
R4047,1,0.941176470588,0.75775,0.783878823529
R4052,1,0.75,0.80792185,0.788512125
R4053,1,1,0.901059875,0.83289155
R4065,0.941176470588,0.947368421053,0.726044,0.829899055556
R4071,1,1,0.907702176471,0.810557578947
R4085,1,1,0.934339736842,0.766442294118
R4087,1,1,0.8581012,0.8324024375
R4088,0.95,0.8125,0.7779362,0.8792019375
R4119,1,0.941176470588,0.765827684211,0.828207647059
R4131,0.944444444444,0.888888888889,0.743745,0.869298
R4132,1,0.952380952381,0.820594666667,0.758150428571
R4140,0.933333333333,1,0.8569232,0.843758190476
R4165,0.944444444444,1,0.849309888889,0.799288055556
R4167,0.952380952381,0.933333333333,0.819936142857,0.727042
R4169,1,1,0.805238,0.866484294118
R4204,1,1,0.819810625,0.87799435
R4211,0.941176470588,0.789473684211,0.87623075,0.744745157895
R4220,0.9375,1,0.8352629375,0.78286465
R4222,1,0.973684210526,0.857605735294,0.799989315789
R4235,1,1,0.915913,0.763544176471
R4236,1,1,0.808148454545,0.778223214286
R4239,1,0.941176470588,0.852500157895,0.816256705882
R4255,1,1,0.76803305,0.851256625
R4258,1,1,0.835664888889,0.87173
R4268,1,0.9375,0.8105875,0.804305125
R4275,0.944444444444,1,0.874289888889,0.8326555
R4302,0.944444444444,0.944444444444,0.7575835,0.757533055556
R4307,1,0.952380952381,0.800425133333,0.824563190476
R4315,1,1,0.807634611111,0.746561722222
R4447,1,0.952380952381,0.833977,0.810586666667
R4482,0.941176470588,0.947368421053,0.813508117647,0.786853684211
R4487,1,1,0.793915,0.841497
R4497,0.944444444444,0.944444444444,0.791135388889,0.825299764706
R4500,0.941176470588,0.947368421053,0.816450294118,0.831636947368
R4505,0.933333333333,0.952380952381,0.771292428571,0.8055426
R4507,1,1,0.849443777778,0.835588555556
R4508,0.9375,1,0.8261784375,0.7930348
R4509,1,1,0.85564795,0.78245075
R4519,1,1,0.744743894737,0.857718294118
R4524,0.894736842105,1,0.795818294118,0.872404
R4538,0.722222222222,0.777777777778,0.825948,0.799813142857
R4544,1,0.933333333333,0.86533952381,0.756960714286
R4610,0.888888888889,0.888888888889,0.841130055556,0.774455277778
R4630,0.470588235294,0.684210526316,0.816825,0.845204
R4659,0.85,0.8125,0.819359470588,0.8856459375
R4661,0.764705882353,0.894736842105,0.801761588235,0.805034611111
R4662,0.933333333333,0.952380952381,0.7338934,0.843897047619
R4678,1,1,0.85061345,0.82619925
